COUNTYFP20,BLACK,HISP,ASIAN,WHITE,OTHER,VAP20,BLACK_share,HISP_share,ASIAN_share,WHITE_share,OTHER_share,COUNTY,CNAME
48001,10024,8350,363,28406,238,47381,0.2115615964205061,0.176230978662333,0.0076612988328654,0.5995230155547583,0.0050231105295371,Anderson,Anderson
48003,211,6731,83,5828,95,12948,0.0162959530429409,0.5198486252703121,0.0064102564102564,0.45010812480692,0.0073370404695705,Andrews,Andrews
48005,9815,12872,795,41265,311,65058,0.1508653816594423,0.1978542223861784,0.0122198653509176,0.6342801807617818,0.0047803498416797,Angelina,Angelina
48007,225,4397,467,14521,206,19816,0.0113544610415825,0.2218914008881711,0.0235668146951958,0.7327916834880904,0.01039563988696,Aransas,Aransas
48009,54,474,37,5990,57,6612,0.0081669691470054,0.0716878402903811,0.0055958862673926,0.9059286146400484,0.0086206896551724,Archer,Archer
48011,9,85,13,1300,20,1427,0.0063069376313945,0.0595655220742817,0.0091100210231254,0.9110021023125436,0.0140154169586545,Armstrong,Armstrong
48013,353,21784,198,13407,241,35983,0.0098101881444015,0.6053969930244838,0.0055025984492677,0.3725926131784454,0.0066976072034016,Atascosa,Atascosa
48015,1874,5357,199,15572,155,23157,0.0809258539534482,0.2313339379021462,0.0085935138403074,0.672453253875718,0.0066934404283801,Austin,Austin
48017,34,2946,9,1815,34,4838,0.007027697395618,0.6089293096320794,0.0018602728400165,0.375155022736668,0.007027697395618,Bailey,Bailey
48019,166,2948,138,13943,154,17349,0.0095682748285203,0.1699233385209522,0.0079543489538301,0.8036774453859012,0.008876592310796,Bandera,Bandera
48021,4731,27108,788,39796,604,73027,0.0647842578772234,0.3712051706902926,0.0107905295301737,0.5449491284045627,0.0082709134977474,Bastrop,Bastrop
48023,54,275,6,2289,12,2636,0.0204855842185129,0.1043247344461305,0.0022761760242792,0.868361153262519,0.0045523520485584,Baylor,Baylor
48025,2241,14920,220,7547,94,25022,0.0895611861561825,0.5962752777555751,0.0087922628087283,0.3016145791703301,0.0037566941091839,Bee,Bee
48027,63242,61176,11429,131345,4971,272163,0.2323681029383127,0.2247770637448881,0.0419932172999268,0.4825968261666721,0.0182647898502,Bell,Bell
48029,124689,854043,60850,461093,11713,1512388,0.0824451132910337,0.5646983446046914,0.0402343842982091,0.3048774520824021,0.0077447057236635,Bexar,Bexar
48031,84,1514,62,7699,62,9421,0.0089162509287761,0.1607048084067509,0.0065810423521919,0.8172168559600892,0.0065810423521919,Blanco,Blanco
48033,3,53,0,415,0,471,0.0063694267515923,0.1125265392781316,0.0,0.881104033970276,0.0,Borden,Borden
48035,274,2148,74,11873,87,14456,0.0189540675152185,0.1485888212506917,0.0051189817376867,0.8213198671831765,0.0060182623132263,Bosque,Bosque
48037,17814,5263,994,46787,679,71537,0.2490179906901324,0.0735703202538546,0.0138949075303689,0.6540251897619414,0.0094915917637026,Bowie,Bowie
48039,41963,77672,20451,133949,1865,275900,0.1520949619427328,0.2815222906850308,0.0741246828561072,0.485498368974266,0.0067596955418629,Brazoria,Brazoria
48041,18545,45137,13908,107061,1284,185935,0.0997391561567214,0.2427568774033936,0.0748003334498615,0.5757979939226073,0.006905639067416,Brazos,Brazos
48043,189,2982,99,4496,80,7846,0.024088707621718,0.3800662758093296,0.0126178944685189,0.5730308437420342,0.0101962783583991,Brewster,Brewster
48045,17,259,0,833,4,1113,0.0152740341419586,0.2327044025157232,0.0,0.7484276729559748,0.0035938903863432,Briscoe,Briscoe
48047,29,4593,26,663,18,5329,0.0054419215612685,0.8618877838243573,0.0048789641583786,0.1244135860386564,0.003377744417339,Brooks,Brooks
48049,1182,5525,263,22683,225,29878,0.0395608809157239,0.1849186692549702,0.0088024633509605,0.7591873619385501,0.0075306245397951,Brown,Brown
48051,1486,2503,71,9769,82,13911,0.10682193947236,0.1799295521529724,0.0051038746315865,0.7022500179713895,0.0058946157716914,Burleson,Burleson
48053,578,7372,426,30331,276,38983,0.0148269758612728,0.1891080727496601,0.0109278403406613,0.7780571018136111,0.0070800092347946,Burnet,Burnet
48055,1978,17100,245,14483,228,34034,0.0581183522359992,0.5024387377328554,0.0071986836692719,0.425545043192102,0.0066991831697714,Caldwell,Caldwell
48057,337,6980,849,7264,72,15502,0.0217391304347826,0.4502644820023223,0.0547671268223455,0.4685846987485486,0.004644561992001,Calhoun,Calhoun
48059,141,867,67,9532,89,10696,0.0131824981301421,0.0810583395661929,0.006264023934181,0.8911742707554225,0.0083208676140613,Callahan,Callahan
48061,1300,264000,2371,32693,844,301208,0.0043159544235212,0.8764707444689384,0.0078716368755145,0.108539613821678,0.0028020504103476,Cameron,Cameron
48063,1481,1998,102,5708,56,9345,0.1584804708400214,0.2138041733547351,0.0109149277688603,0.6108079186730873,0.0059925093632958,Camp,Camp
48065,61,382,19,3897,42,4401,0.0138604862531242,0.0867984548966144,0.004317200636219,0.885480572597137,0.0095432856169052,Carson,Carson
48067,3566,844,125,17515,177,22227,0.1604355063661312,0.0379718360552481,0.0056237908849597,0.7880055788005579,0.0079632878931029,Cass,Cass
48069,94,3215,37,1896,35,5277,0.017813151411787,0.6092476786052682,0.0070115595982565,0.3592950540079591,0.0066325563767292,Castro,Castro
48071,2608,6781,553,23237,285,33464,0.0779344967726512,0.2026356681807315,0.016525221133158,0.6943879990437485,0.0085166148697107,Chambers,Chambers
48073,5113,7472,251,24855,196,37887,0.1349539419853775,0.1972180431282498,0.0066249637078681,0.6560297727452689,0.0051732784332356,Cherokee,Cherokee
48075,560,1461,48,3221,28,5318,0.1053027453930049,0.2747273411056788,0.0090259496051147,0.6056788266265514,0.0052651372696502,Childress,Childress
48077,69,394,62,7530,89,8144,0.0084724950884086,0.0483791748526522,0.0076129666011787,0.924607072691552,0.0109282907662082,Clay,Clay
48079,57,1019,3,734,4,1817,0.03137039075399,0.5608145294441387,0.0016510731975784,0.4039625756741882,0.0022014309301045,Cochran,Cochran
48081,8,471,4,2128,23,2634,0.0030372057706909,0.1788154897494305,0.0015186028853454,0.8078967350037966,0.0087319665907365,Coke,Coke
48083,127,815,31,5138,54,6165,0.0206001622060016,0.1321978913219789,0.0050283860502838,0.8334144363341444,0.0087591240875912,Coleman,Coleman
48085,84041,112750,143191,440384,6472,786838,0.1068085171280492,0.1432950620076813,0.181982822385294,0.5596882712832884,0.008225327195687,Collin,Collin
48087,95,520,14,1340,19,1988,0.0477867203219315,0.2615694164989939,0.0070422535211267,0.6740442655935613,0.0095573440643863,Collingsworth,Collingsworth
48089,1781,4026,85,10159,42,16093,0.1106692350711489,0.2501708817498291,0.0052817995401727,0.6312682532778227,0.0026098303610265,Colorado,Colorado
48091,3408,30300,2160,89620,1047,126535,0.0269332595724503,0.2394594381001304,0.0170703757853558,0.7082625360572173,0.008274390484846,Comal,Comal
48093,51,2506,39,7912,58,10566,0.0048268029528676,0.2371758470565966,0.0036910846110164,0.7488169600605716,0.0054893053189475,Comanche,Comanche
48095,80,815,22,1911,23,2851,0.028060329708874,0.2858646089091546,0.0077165906699403,0.6702911259207296,0.0080673447913012,Concho,Concho
48097,998,5132,304,24751,338,31523,0.0316594232782412,0.1628017637915173,0.0096437521809472,0.7851727310217936,0.0107223297275005,Cooke,Cooke
48099,10028,11259,2075,38025,1219,62606,0.1601763409257898,0.179838993067757,0.0331437881353224,0.6073699006485002,0.0194709772226304,Coryell,Coryell
48101,79,226,10,779,3,1097,0.0720145852324521,0.2060164083865086,0.0091157702825888,0.7101185050136737,0.0027347310847766,Cottle,Cottle
48103,60,2087,24,1166,14,3351,0.0179051029543419,0.6227991644285288,0.0071620411817367,0.3479558340793793,0.0041778573560131,Crane,Crane
48105,21,1416,7,936,14,2394,0.0087719298245614,0.5914786967418546,0.0029239766081871,0.3909774436090225,0.0058479532163742,Crockett,Crockett
48107,107,1873,17,1806,9,3812,0.0280692549842602,0.4913431269674711,0.0044596012591815,0.4737670514165792,0.0023609653725078,Crosby,Crosby
48109,22,1252,27,406,14,1721,0.0127832655432887,0.7274840209180709,0.0156885531667635,0.2359093550261476,0.0081348053457292,Culberson,Culberson
48111,89,2447,10,2429,47,5022,0.0177220230983671,0.4872560732775786,0.0019912385503783,0.4836718438868976,0.0093588211867781,Dallam,Dallam
48113,443042,722471,149921,643756,13388,1972578,0.2246004974201273,0.3662572531986061,0.07600257125447,0.3263526207835634,0.006787057343233,Dallas,Dallas
48115,805,4733,53,3824,35,9450,0.0851851851851851,0.5008465608465609,0.0056084656084656,0.4046560846560846,0.0037037037037037,Dawson,Dawson
48117,95,9156,39,3581,78,12949,0.0073364738589852,0.7070816279249363,0.0030118155842149,0.2765464514634335,0.0060236311684299,Deafsmith,Deafsmith
48119,259,252,32,3487,51,4081,0.0634648370497427,0.0617495711835334,0.0078412153883852,0.8544474393530997,0.0124969370252389,Delta,Delta
48121,76485,122901,73199,399875,5956,678416,0.1127405603641423,0.1811587580481592,0.1078969246008348,0.5894244829131389,0.0087792740737246,Denton,Denton
48123,1294,4826,72,9160,66,15418,0.0839278765079776,0.313010766636399,0.0046698663899338,0.5941107796082501,0.0042807108574393,Dewitt,DeWitt
48125,26,339,5,992,7,1369,0.0189919649379108,0.2476260043827611,0.0036523009495982,0.7246165084002922,0.0051132213294375,Dickens,Dickens
48127,66,5387,58,778,19,6308,0.0104629042485732,0.853994927076728,0.0091946734305643,0.1233354470513633,0.003012048192771,Dimmit,Dimmit
48129,142,232,20,2168,29,2591,0.0548050945580856,0.0895407178695484,0.0077190274025472,0.8367425704361251,0.0111925897336935,Donley,Donley
48131,151,5963,42,1337,19,7512,0.0201011714589989,0.7937965921192758,0.005591054313099,0.1779818956336528,0.0025292864749733,Duval,Duval
48133,356,1953,99,11477,101,13986,0.0254540254540254,0.1396396396396396,0.007078507078507,0.8206063206063207,0.0072215072215072,Eastland,Eastland
48135,5953,68159,2013,42340,995,119460,0.0498325799430771,0.5705591829901222,0.0168508287292817,0.3544282605056085,0.0083291478319102,Ector,Ector
48137,7,528,9,587,9,1140,0.0061403508771929,0.4631578947368421,0.0078947368421052,0.5149122807017544,0.0078947368421052,Edwards,Edwards
48139,18030,33562,1560,86583,1249,140984,0.1278868524087839,0.2380553821710265,0.0110650853997616,0.6141335186971572,0.0088591613232707,Ellis,Ellis
48141,21327,524130,10818,84168,4519,644962,0.0330670644161981,0.8126525283660123,0.0167730812047841,0.1305007116698348,0.0070066143431706,Elpaso,Elpaso
48143,1289,6339,356,25583,270,33837,0.0380943937110263,0.1873393031297101,0.0105210272778319,0.7560658450808286,0.0079794308006028,Erath,Erath
